text	label
what carry-on restrictions does southwest impose	carry_on
carry-on restrictions for air emirates	carry_on
does delta have any carry-on restrictions	carry_on
what's restricted in my carry-on with united	carry_on
what restrictions do my carry-ons need to comply with for delta	carry_on
how much luggage can i carry with me on flight dl2200 to denver	carry_on
am i allowed carry ons for my flight with westjet to edmonton	carry_on
how many carry ons am i allowed to take on my canadair flight to frankfurt	carry_on
is there are limit of carry ons for my flight with aer lingus to cork	carry_on
what are the carry on limits for delta	carry_on
am i limited in carry ons for jet blue	carry_on
what am i allowed to carry on for american airlines	carry_on
does delta have any restrictions for what i can carry on	carry_on
does jet blue have any carry-on restrictions	carry_on
how many carry-on items are allowed per passenger	carry_on
what are the carry-on rules	carry_on
is there a carry-on item weight limit	carry_on
how big can a carry-on bag be	carry_on
does delta have carry-on restrictions	carry_on
do you know the carry-on restrictions for delta	carry_on
delta has too many carry-on restrictions! do you know them	carry_on
are there carry-on restrictions for delta	carry_on
what are the carry on rules for united	carry_on
tell me united's carry on policy	carry_on
what should i know about the carry on policy for american	carry_on
let me know the carry on policy for alaska airlines	carry_on
i want to know the carry on policy for southwest	carry_on
if i fly internationally, do brittish airwaiys have carry-on limitations	carry_on
can i carry on a garment bag, a small travel bag, and a back pack on my trip with american airlines	carry_on
i am flying jetblue and need to know what the most number of bags are that i can carry on	carry_on
what are the carry-on fees with delta for international flights	carry_on
what are the carry-on limits for flying domestically with delta	carry_on
how many carry ons can i take on a flight with jet blue to washington dc	carry_on
how many carry ons can i take on a flight with virgin airlines to vancouver bc	carry_on
how many carry ons can i take on a flight with delta to mexico city	carry_on
how many carry ons can i take on a flight with united to lax	carry_on
how many carry ons can i take on a flight with american airlines to seattle	carry_on
what is the carry-on policy say for flights on delta airlines	carry_on
what are the carry-on restrictions for singapore airlines	carry_on
what are the carry-on restrictions for frontier airlines	carry_on
what does the carry-on policy say for flights on united airlines	carry_on
how many bags can i carry-on for flights on singapore airlines	carry_on
what are the carry-on restrictions for delta	carry_on
what are the carry-on restrictions for united	carry_on
what are the carry-on restrictions for southwest airlines	carry_on
what are the rules regarding carry-on baggage for flights on virgin airlines	carry_on
what can't i carry-on to delta	carry_on
what is the carry on limit	carry_on
what are delta's carry-on policies for flights	carry_on
what are the rules for carry on luggage	carry_on
can you look up the carry-on restrictions for delta	carry_on
are there restrictions for carry-ons on delta	carry_on
what can i carry-on delta flights	carry_on
do i have to pay for carry-ons on delta	carry_on
what are the carry on limits for delta flights	carry_on
is there a carry on weight limit	carry_on
what restrictions are there for carry-on on delta	carry_on
what are the rules for carry on luggage for delta	carry_on
what are delta's carry-on restrictions	carry_on
tell me the carry on rules	carry_on
does united airlines allow more than one carry on	carry_on
how strict is spirit when it comes to carry ons	carry_on
can i have 3 carry ons with delta at jfk	carry_on
what is american airlines carry on policy	carry_on
does delta allow more than one carry on when traveling to miami	carry_on
does delta charge for carry ons	carry_on
what are my carry on options when flying american airlines to trenton	carry_on
how many carry ons does spirit allow when flying to dallas	carry_on
what is delta's carry on policy	carry_on
do you know about carry ons out of tampa with spirit	carry_on
search for carry on rules for flights on delta airlines	carry_on
what are the requirements for carry on on flights with united airlines	carry_on
please find the rules for carry on when flying with spirit airlines	carry_on
i need to know the carry on policy for american airlines flights	carry_on
can you tell me jet blue airlines' carry on policy	carry_on
from a flight from muscat to qatar, how many carry ons can i take	carry_on
do i need to pay for delta carry on	carry_on
which rules does delta have for carry on	carry_on
when taking a flight with lion to singapore, how many carry ons are allowed	carry_on
how many carry ons are allowed on a flight with wow to iceland	carry_on
on a flight with allegiant to orlando, how many carry ons can i take	carry_on
when taking a flight with porter to toronto, how many carry ons can i take	carry_on
on a flight with jin air to jeju, how many carry ons are allowed	carry_on
let me know the rules for carry ons for continental	carry_on
i want to know the carry on policy for aeromexico	carry_on
change to whisper mode	whisper_mode
change mode to whisper	whisper_mode
whisper mode off	whisper_mode
change out of whisper mode	whisper_mode
turn off whisper mode	whisper_mode
activate whisper mode	whisper_mode
whisper mode activate	whisper_mode
can you please lower the volume please	whisper_mode
use your indoor voice please	whisper_mode
whisper for me	whisper_mode
is it possible for you to whisper for me	whisper_mode
turn on your whisper mode	whisper_mode
i'm going to need you to be quiet now please	whisper_mode
don't make too much noise	whisper_mode
go into whisper mode now please	whisper_mode
can you use the whisper voice	whisper_mode
volume to whisper voice	whisper_mode
turn on the whisper voice	whisper_mode
go to the whisper voice	whisper_mode
can you whisper until i tell you not to	whisper_mode
switch to your whispering voice please	whisper_mode
whisper from here on out please	whisper_mode
whisper from now on	whisper_mode
i need you to use your whisper voice	whisper_mode
do not talk so loudly	whisper_mode
use your quiet voice	whisper_mode
you need to speak softer	whisper_mode
speak quiet as though you were in a church	whisper_mode
change to normal vocals mode	whisper_mode
turn your volume up	whisper_mode
turn up your volume	whisper_mode
switch to quiet mode	whisper_mode
let's start whispering	whisper_mode
let's switch to whisper voice	whisper_mode
let's use whisper voice	whisper_mode
i decide to switch out of whisper mode	whisper_mode
i want to switch out of whisper mode	whisper_mode
can you whisper	whisper_mode
let's switch out of whisper mode	whisper_mode
let's whisper	whisper_mode
go to whisper mode	whisper_mode
can you switch out of whisper mode	whisper_mode
i think we should whisper	whisper_mode
shh please speak with a whisper	whisper_mode
please turn on whisper mode	whisper_mode
go into whisper mode now	whisper_mode
i need you to go into whisper mode	whisper_mode
please only use a whisper when speaking	whisper_mode
i can't be loud and need you to speak more quietly	whisper_mode
go back to whisper mode, please	whisper_mode
change to whisper mode, please	whisper_mode
switch to whisper mode, please	whisper_mode
go back to whisper mode	whisper_mode
please switch to whisper	whisper_mode
switch to the whisper mode	whisper_mode
switch over to whisper	whisper_mode
switch to whisper please	whisper_mode
i want whisper mode to be switched off	whisper_mode
i want you to use whisper voice now	whisper_mode
please turn on whisper voice	whisper_mode
i dont need whisper mode on any more	whisper_mode
could you please get out of whisper mode	whisper_mode
i need your setting switched to whisper mode right away	whisper_mode
please shut off whisper mode for now	whisper_mode
make sure to set yourself to whisper mode before i go to the movie	whisper_mode
please turn on whisper mode because i am about to be in class	whisper_mode
i want your setting adjusted to whisper voice now	whisper_mode
please switch to whisper mode for now	whisper_mode
please begin using the whisper voice setting	whisper_mode
i want you to be in whisper mode now because i am in the library	whisper_mode
can you change to the whisper voice setting	whisper_mode
please speak with the whisper voice	whisper_mode
exit out of whisper mode	whisper_mode
is it possible for you to use the whisper voice	whisper_mode
switch to whisper mode	whisper_mode
i'd like you to use the whisper voice	whisper_mode
immediately begin using whisper mode	whisper_mode
i can't hear you, stop whispering!	whisper_mode
start using whisper mode	whisper_mode
stop using the whisper mode	whisper_mode
engage whisper mode now	whisper_mode
can you go to the whisper voice	whisper_mode
go back to normal mode please	whisper_mode
use the whisper voice	whisper_mode
use your whispering voice	whisper_mode
6 inch voices please	whisper_mode
can you switch to whisper mode	whisper_mode
i want whisper mode	whisper_mode
please switch to whisper mode	whisper_mode
would you mind switching to whisper mode	whisper_mode
could you please switch to whisper mode	whisper_mode
if you don't mind, please switch to whisper mode	whisper_mode
i need you to switch to whisper mode	whisper_mode
i want you to switch to whisper mode	whisper_mode
talk in whisper voice	whisper_mode
please whisper	whisper_mode
please use whisper	whisper_mode
please talk quietly	whisper_mode
use whisper voice	whisper_mode
turn to whisper mode	whisper_mode
text audrey and tell her i will be there soon	text
text wenona and tell her we will be there tomorrow	text
send a text to mom i'll talk to you later	text
start a new text	text
can you tell bob to get his dog via text	text
i have to have a text sent	text
text tony and invite him to my party next saturday	text
text message chris and say i love you	text
write a text to alice	text
create a new text	text
send a text for me	text
send mom a text i'll talk to you later	text
can you text arthur and tell them im almost there	text
text a message to alice	text
create a new text message	text
text my boss for me and tell them i will be a little bit late	text
text my dad for me and tell them i love you	text
i need you to text someone for me	text
text my friend for me and tell them to meet me later	text
text robert and tell him winter is coming	text
let sal know by text i will be attending	text
send mom a message i'll talk to you later	text
send a text and tell chris i’m not working today	text
can you send a text to someone	text
write text message to someone	text
send a text to someone	text
can you text elizabeth and tell them i forgot to bring drinks	text
please send ann a text and tell her i will be home in 20 minutes	text
send a text message to chris and ask what he wants to eat for dinner	text
set up a new text message	text
send ally a text message the message is that i just landed	text
text sal and let them know the answer is yes	text
text my doctor and tell him it happened again	text
can you text mary and tell them it's ready	text
send a text to lisa and ask her to call me when she gets home	text
i want you to send a text message for me	text
send a message to natalie in the form of a text	text
send text message to	text
send a text to brooklyn with the message that i will see them later	text
can you send a text for me	text
compose a text to mom i'll talk to you later	text
give a text to my cousin linda that says happy birthday	text
create a text message to	text
text matt and tell him i will be late tonight	text
please send a text to phil and ask him if he wants to play golf this weekend	text
i want to send a text	text
text nick and tell him the car's ready	text
please send a text	text
can you ping priest chris with a text and send the following confession	text
text mom i'll talk to you later	text
i want a good recipe that shows me how to bake chocolate chip cookies from scratch	recipe
show me a beef recipe	recipe
how do i cook boiled eggs	recipe
how do i make pumpkin pie	recipe
find me a recipe for teriyaki chicken	recipe
do you have a cookbook that could teach me to make sushi	recipe
look up easy to follow recipes for beef ribs	recipe
i need a recipe for chicken pot pie	recipe
what do you need to do to make sushi	recipe
i want to make sour dough bread please find a good recipe for me	recipe
how do you cook apple pie	recipe
what's the way to make apple pie	recipe
whats the best way to roast a chicken	recipe
where can i look to learn to make sushi	recipe
can you help me find a lasagna recipe	recipe
making spaghetti sauce perfectly is done how	recipe
i need a quick recipe for spiral ham	recipe
where is a beef recipe	recipe
how do you make benedict arnold	recipe
how do i make pie crust	recipe
what's the best way to make a broccoli salad	recipe
blackberry pie instructions	recipe
tell me how to make chow mein	recipe
how do i make a taco that's worth eating	recipe
find a recipe for german chocolate cake	recipe
can you find me a recipe for pasta	recipe
how do you make pot roast	recipe
i would like you to help me find a chow mein recipe	recipe
can you find a recipe on how to make chow mein	recipe
i need a really good recipe for making doughnuts	recipe
can you find me a recipe for cake	recipe
please search for a chocolate fudge brownies recipe	recipe
what's the process of making a burrito	recipe
how do you cook meatloaf	recipe
i need a vegi lasagna recipe	recipe
you know procedure to cook apple pie	recipe
can you find me a recipe for salsa	recipe
is there a good website to teach me how to make sushi	recipe
how do i make beef stroganoff	recipe
give me a beef recipe	recipe
can you search for the best new york style cheesecake recipes please	recipe
how do i make tuna salad	recipe
can you find me a recipe for carrot cake	recipe
can you find me a recipe for honey ham	recipe
how do i make lemon merengue pie	recipe
can you get me a recipe for mashed potatoes	recipe
are there instructions on how to make buttermilk pancakes	recipe
is there a recipe for chili i can use	recipe
how to make mac and cheese	recipe
please help me with instructions on making chicken curry	recipe
find a good recipe for meatloaf	recipe
how do i make the perfect omelette	recipe
what steps are involved in making lasagna	recipe
what is a good beef recipe	recipe
do you know what are the ingredients to make apple pie	recipe
can you find me a recipe for sugar cookies	recipe
i need a recipe on how to make beef stew	recipe
i need instructions on how to make shepherd's pie please	recipe
i am looking for a vegan friendly italian pasta recipe	recipe
i need the best recipe for mashed potatoes	recipe
please show me a recipe for chili	recipe
what are the steps i need to follow to make chewy rice krispies treats	recipe
how do you create pork chili	recipe
how do i make lassagna	recipe
how do i bake a blackberry pie	recipe
can you find me a recipe for ribs	recipe
i need to know how to make philly cheesesteaks	recipe
i need a recipe for beef	recipe
tell me how to make beef wellington	recipe
can you find me a recipe for quiche	recipe
can you find a hearty lasagna recipe	recipe
find out how to make chicken tikka masala	recipe
can you teach me how to make sushi	recipe
what's the recipe for rice noodles	recipe
can you find me a recipe for cheese cake	recipe
can you please turn on my furnace	smart_home
oven should be set to 350 now	smart_home
what temp is the ac at	smart_home
tell me who is by the garage door	smart_home
set my oven to 350 please	smart_home
make sure all doors are locked	smart_home
make the lights dimmer please	smart_home
please, will you turn on my tv	smart_home
turn lights on in my bedroom	smart_home
turn the fan to the on position	smart_home
start my vehicle	smart_home
please get my car started before i go out to it	smart_home
need the tv on please	smart_home
lock all the doors	smart_home
can you turn on the lights in the den	smart_home
turn the furnace on please	smart_home
check who's at the door	smart_home
please set the temperature to 70	smart_home
turn tv on please	smart_home
make the temperature 78 in here	smart_home
turn lights on in the garage	smart_home
what is my ac set to right now	smart_home
activate my furnace please	smart_home
can you set the temp to 69	smart_home
set my temp to 75	smart_home
can you see if i have my doors locked	smart_home
make sure the oven is set to 350 please	smart_home
the ac is set to what right now	smart_home
can you turn on the lights in the backyard	smart_home
can you turn on the tv	smart_home
can you turn the oven to 350	smart_home
who is at my front door	smart_home
can you turn my lights down just a bit	smart_home
will you please get my furnace turned on	smart_home
can you please dim the lights	smart_home
set my oven to 350 for me right now	smart_home
turn lights on in my master bathroom	smart_home
who is knocking	smart_home
turn on the fan	smart_home
can you get my car started	smart_home
are my doors locked right now	smart_home
can you get the fan going in here	smart_home
please turn my fan on	smart_home
warm up my car for me	smart_home
please make sure the temperature is set to 68	smart_home
are my doors in the locked position right now	smart_home
turn down the lights a little please	smart_home
what's the persons name at my door	smart_home
can you lock all the doors in the house	smart_home
i need some air; get the fan going	smart_home
what's the ac set to	smart_home
can you tell me what the ac is on	smart_home
lock every door on the property	smart_home
turn the tv to on right now	smart_home
please lock every door	smart_home
did i lock the doors	smart_home
dim the main lights please	smart_home
i need my furnace turned on	smart_home
put the garage lights on	smart_home
on the lounge lights turn	smart_home
can put fan on	smart_home
turn on the living room lights	smart_home
put fan on	smart_home
put on lights	smart_home
on turn tv	smart_home
on the fan	smart_home
on the tv	smart_home
switch fan	smart_home
light the bedroom lights	smart_home
switch tv	smart_home
tv on turn	smart_home
please start my car	smart_home
what is the temperature setting of the ac	smart_home
set temperature to 75	smart_home
can you look who is at the door	smart_home
what is the temperature the ac display is showing	smart_home
has anyone locked the door	smart_home
check to see who is at the doof	smart_home
what is the ac temperature	smart_home
please lock the doors	smart_home
can you please help me start the car	smart_home
turn the fan on please	smart_home
i would appreciate it if you help me turn the car on	smart_home
did anyone securely lock the door	smart_home
please set the temperature to 80	smart_home
turn the fan on	smart_home
put the lights on low	smart_home
can you please start my car	smart_home
what is the temperature on the ac	smart_home
can you check who is at the door	smart_home
set the temperaure to 71	smart_home
turn the lights down	smart_home
please turn the fan on	smart_home
can you please turn the fan on	smart_home
i want you to turn the fans on	smart_home
what temperature is the ac set at	smart_home
remember to lock the doors	smart_home
who is at the door	smart_home
please check the door to see who is there	smart_home
set the temperature to 78	smart_home
what company do you toil for	who_do_you_work_for
are you working for me or what	who_do_you_work_for
who would you say you work for	who_do_you_work_for
would you say that you know who your boss is	who_do_you_work_for
who directs your labor	who_do_you_work_for
do you work for anyone else	who_do_you_work_for
am i your boss	who_do_you_work_for
are you working for someone other than me	who_do_you_work_for
when asked who you work for, what would you say	who_do_you_work_for
do you have another job	who_do_you_work_for
let me know who is your boss	who_do_you_work_for
who would you say you are employed by	who_do_you_work_for
tell me who is your boss	who_do_you_work_for
is there someone else you work for	who_do_you_work_for
are you working for someone else	who_do_you_work_for
who do you report to	who_do_you_work_for
do you know who you report to	who_do_you_work_for
if you had to say who you worked for who would it be	who_do_you_work_for
i wanna know who is your boss	who_do_you_work_for
what is the name of your boss	who_do_you_work_for
don't you work for your self	who_do_you_work_for
what is the full name of your boss	who_do_you_work_for
describe who it is you work for	who_do_you_work_for
who is the boss of you	who_do_you_work_for
your boss is who	who_do_you_work_for
who is your manager	who_do_you_work_for
what's your boss' name	who_do_you_work_for
who do i work for	who_do_you_work_for
am i your manager	who_do_you_work_for
are you working for me	who_do_you_work_for
you work for whom	who_do_you_work_for
you work for what company or person exactly	who_do_you_work_for
who do you call your boss	who_do_you_work_for
i gotta know who is your boss	who_do_you_work_for
who is your boss	who_do_you_work_for
who else do you work for	who_do_you_work_for
who are you currently working for	who_do_you_work_for
who else commands you	who_do_you_work_for
what organization do you work for	who_do_you_work_for
could you tell me the name of your boss	who_do_you_work_for
which organization you work for	who_do_you_work_for
who is your employer	who_do_you_work_for
who are you working for	who_do_you_work_for
are you paid by somebody	who_do_you_work_for
who would you say that you are working for	who_do_you_work_for
do you know the name of your boss	who_do_you_work_for
who is it u work for	who_do_you_work_for
who do you consider your employer	who_do_you_work_for
are you self employed	who_do_you_work_for
where else do you work	who_do_you_work_for
do you have a boss	who_do_you_work_for
for what person do you work	who_do_you_work_for
i need to know who is your boss	who_do_you_work_for
who would you say your employer is	who_do_you_work_for
do you happen to be employed by me	who_do_you_work_for
who is the person u work for	who_do_you_work_for
are you my employee	who_do_you_work_for
who do you work for	who_do_you_work_for
what entity is your boss	who_do_you_work_for
is there another entity you work for	who_do_you_work_for
you work for who	who_do_you_work_for
are you employed by someone	who_do_you_work_for
who pay your salary	who_do_you_work_for
who calls the shots for your employment	who_do_you_work_for
who do you function for	who_do_you_work_for
who tells you what to do	who_do_you_work_for
who do you job for	who_do_you_work_for
who do yo work for	who_do_you_work_for
what is your boss's name	who_do_you_work_for
who or what association do you work for	who_do_you_work_for
what does your boss go by	who_do_you_work_for
do you work for me or is that wrong	who_do_you_work_for
are you employed by someone else	who_do_you_work_for
who is you employer	who_do_you_work_for
are you working for another person or entity	who_do_you_work_for
i need to know my rewards balance on my discover card	rewards_balance
tell me how to check rewards for my mastercard	rewards_balance
what points were earned on my mastercard	rewards_balance
what is my current reward point total on my visa card	rewards_balance
what do i have to do to see my rewards for my chase card	rewards_balance
how many rewards do i have on my chase card	rewards_balance
what's my reward balance on my amex card	rewards_balance
how can i look at rewards for my amex card	rewards_balance
what the current balance of reward points on my mastercard	rewards_balance
what's the reward point count on my discover card	rewards_balance
my starbucks rewards balance is	rewards_balance
how many reward points do i have available to redeem on my visa	rewards_balance
what is my american express card's rewards balance	rewards_balance
what's the amount of points i have earned with my discover card	rewards_balance
my marriot rewards card has how much for a point total	rewards_balance
i need to hear how many points i've obtained on my capital one visa	rewards_balance
can you help me tell what my starbucks rewards balance is	rewards_balance
how do i find out my rewards balance on my chase card	rewards_balance
can you tell me how many points i have to date with my capital one miles card	rewards_balance
when can i receive rewards on my visa card	rewards_balance
what is the reward balance on my discover card	rewards_balance
how many points have i already accrued on my chase mastercard	rewards_balance
can you tell me my starbucks rewards balance	rewards_balance
what's the current reward amount on my visa	rewards_balance
i need to know my reward point total looking at my debit card	rewards_balance
book a reservation for 6 at shakey's under the name jason	restaurant_reservation
i gotta make a reservation for 8 pm at red robin for 3	restaurant_reservation
can you get me a table for 6 at mark's at 11am	restaurant_reservation
reserve a table for 5 at lawry's under the name steve at 8:00pm	restaurant_reservation
can you get a table for 5 at joe's at 5pm	restaurant_reservation
book a reservation for 4 at outback steakhouse under the name dave	restaurant_reservation
please reserve me a table for 2 pm at maxwell's on the 14th	restaurant_reservation
please reserve a table for two at rouge for 7:00 pm	restaurant_reservation
i need a reservation at 8 on the 22nd of november at ruth's	restaurant_reservation
i want you to book a reservation for 8 pm at red robin under the name kevin	restaurant_reservation
can you make a reservation for me at the restaurant	restaurant_reservation
can you get me a table for 2 at diablo	restaurant_reservation
reserve a table for 2 at red lobster at 8:00	restaurant_reservation
can you get me a table for 8 at mastro's at 8:30pm	restaurant_reservation
can you set me up for a reservation for five at outback steakhouse on february 28th at seven pm	restaurant_reservation
book a reservation for 5 at lawry's under the name chris	restaurant_reservation
i need to make a reservation for 8 pm at red robin for 3	restaurant_reservation
call and make a 5:45 pm reservation for jason rogers, table for four	restaurant_reservation
i need an 8 o'clock reservation at pizza hut for the last name mercury	restaurant_reservation
can you book a table at the restaurant for me and my husband	restaurant_reservation
can you get me a table for 5 at outback steakhouse at 6:30pm	restaurant_reservation
can you get me a table for 4 at steve's	restaurant_reservation
hey computer, make a reservation for 2 for my parents at red lobster on wednseday next, 2:00pm if possible	restaurant_reservation
please make a reservation at ruth's steaks for a party of five at 7:00 pm under jack arnold	restaurant_reservation
can i reserve a table for 2 at the olive garden at 8	restaurant_reservation
i need you to reserve a table for 4 at red robin under the name kevin at 7	restaurant_reservation
i need you to reserve a table for 6:00 pm for three at devon's seafood	restaurant_reservation
reserve a table for two for 7:30 pm at dibruno's under patrick donoghue	restaurant_reservation
is it possible to get a table for 4 at the village inn around 10am	restaurant_reservation
make me a reservation for 5 at coral for 10 pm immediately	restaurant_reservation
make a reservation for tuesday at 7:00 pm at cielo for 2	restaurant_reservation
can you get me a table for 2 at mexico viejo at 3pm	restaurant_reservation
can i make a reservation for 3 at state bird for 8:30, please	restaurant_reservation
listen i need to get a reservation for , me and teresa at georgetown cafe on tuesday at 7:00 pm	restaurant_reservation
can you get me a table for 5 at johnnys	restaurant_reservation
reserve a table for 4 at red robin under the name kevin at 7	restaurant_reservation
i would like a reservation for 6:30 pm at pietro's under the name david jones	restaurant_reservation
can you get me a table for two for 8:00 pm at parc	restaurant_reservation
you need to call the melt in lakewood for a table for at 2:00, monday, the first week in march	restaurant_reservation
is it possible to book a room at the taco bell for reavers at 3	restaurant_reservation
i need a reservation for one at applebee's, four in the afternoon on march 3rd	restaurant_reservation
reserve a table for four for tonight at 7 at the fatted calf	restaurant_reservation
hello, i'd like a reservation for two at the olive garden at six tonight	restaurant_reservation
book a reservation for 2 at olive garden under the name jim	restaurant_reservation
i think we should reserve dad's regular table friday for 6 people, use his name, make that close to 4:00 pm at the club	restaurant_reservation
can you make me a reservation for 4 pm on the 22nd at ruth's	restaurant_reservation
i think i need to make a reservation for 8 pm at red robin for 3	restaurant_reservation
can i have a table held at the outback steakhouse for johnson at 5	restaurant_reservation
i would like you to secure a 4:30 pm reservation for five people at morton's steakhouse	restaurant_reservation
can you make a reservation at the restaurant for tonight	restaurant_reservation
reserve a table for 4 at red lobster under the name dave at 7:30pm	restaurant_reservation
make a reservation for three at prime rib at 6:30 pm	restaurant_reservation
can you get me a table for 4 at red lobster at 8pm	restaurant_reservation
i'd like a reservation for 2 at olive garden for 5 pm today	restaurant_reservation
can you get me a table for 6 at lawry's at 7:30pm	restaurant_reservation
please reserve me a table at hell's kitchen on may 3rd at 8 pm	restaurant_reservation
check reservation availability for 2 at red lobster at 8pm	restaurant_reservation
can you make a reservation at the restaurant for tomorrow	restaurant_reservation
schedule me a table for 2 at red lobster at 8	restaurant_reservation
you have to reserve a table for 4 at red robin under the name kevin at 7	restaurant_reservation
can you get me a table for 3 at olive garden at 7pm	restaurant_reservation
book a reservation for 3 at red lobster under the name steve	restaurant_reservation
reserve a table for 6 at morton's under the name jaime at 8:30pm	restaurant_reservation
make a reservation at 5 pm today for 2 at olive garden	restaurant_reservation
i need you to book a reservation for 8 pm at red robin under the name kevin	restaurant_reservation
can i make a reservation for 2 at state bird for 6:30, please	restaurant_reservation
hey, i need to make a reservation for three at umi, six pm on february 30th	restaurant_reservation
i need you to reserve at table for a party of four at devon's for 6:00 pm	restaurant_reservation
can i make a reservation for 2 at state bird for 8:30, please	restaurant_reservation
make me a reservation for tomorrow at happys for four	restaurant_reservation
can i make a reservation for 6 pm on the 21st at sidetracks	restaurant_reservation
i want to have a table for 2 at the broadmore around 6	restaurant_reservation
please make a reservation for me: party of two, february 22nd at chili's, two in the afternoon	restaurant_reservation
reserve a table for 3 at outback steakhouse under the name lance at 7:00pm	restaurant_reservation
now, i need a reservation for backwoods crossing at seven for 6 people	restaurant_reservation
im going to be in canada from august 10th until august 12th	travel_notification
im going to be in slovakia from january 16th until january 19th	travel_notification
im going to be in paraguay from january 7th until january 10th	travel_notification
i'm going to be in thailand from october 15th until october 23rd	travel_notification
im going to be in jamaica from october 4th until october 8th	travel_notification
my bank needs to know i am going to be out of the country	travel_notification
i am going out of country and my bank needs to be notified	travel_notification
i need to inform the bank i am going out of country	travel_notification
i am going out of country and need to inform my bank	travel_notification
tell the bank i'm traveling between denver and la	travel_notification
tell my bank i am traveling out of country	travel_notification
i'm driving from la to denver and need my bank notified	travel_notification
notify my bank i am travailing from denver to la	travel_notification
i'm traveling between denver and la so tell my bank	travel_notification
i need to let my bank know i am traveling to la	travel_notification
i need to let my bank know i am traveling to detroit	travel_notification
i need to let my bank know i am traveling to new york	travel_notification
i need to let my bank know i am traveling to chicago	travel_notification
i need to let my bank know i am traveling to paris	travel_notification
i will be traveling to rome from february 1 to march 1, please make this aware to my bank	travel_notification
inform my bank that i will be in rome from february 1 to march 1	travel_notification
please let my bank know that i will be in rome from february 1 to march 1	travel_notification
mark down that i will be in rome from february 1 to march 1 and notify my bank	travel_notification
notify my bank that i will be in rome from february 1 to march 1	travel_notification
i need to let my bank know that i'll be travelling internationally	travel_notification
can you tell my bank that i'll be travelling internationally soon	travel_notification
i'll soon be travelling internationally; could you let my bank know	travel_notification
i'll be out of the country soon, and want to notify my bank	travel_notification
i'm going out of the country and need to notify my bank	travel_notification
tell my bank that i'm going to france	travel_notification
tell my bank that i'll be in canada this weekend	travel_notification
let my bank know that i'm traveling to prague	travel_notification
let my bank know that i'll be in moscow, russia	travel_notification
